"filename", "language", "XML", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/App.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 4, 19
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/assets/Pieces/black_bishop.svg", "XML", 12, 0, 0, 0, 0, 1, 13
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/assets/Pieces/black_king.svg", "XML", 12, 0, 0, 0, 0, 1, 13
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/assets/Pieces/black_knight.svg", "XML", 22, 0, 0, 0, 0, 1, 23
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/assets/Pieces/black_knook.svg", "XML", 172, 0, 0, 0, 1, 1, 174
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/assets/Pieces/black_pawn.svg", "XML", 5, 0, 0, 0, 0, 1, 6
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/assets/Pieces/black_queen.svg", "XML", 26, 0, 0, 0, 0, 2, 28
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/assets/Pieces/black_rook.svg", "XML", 39, 0, 0, 0, 0, 1, 40
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/assets/Pieces/white_bishop.svg", "XML", 12, 0, 0, 0, 0, 1, 13
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/assets/Pieces/white_king.svg", "XML", 9, 0, 0, 0, 0, 0, 9
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/assets/Pieces/white_knight.svg", "XML", 19, 0, 0, 0, 0, 1, 20
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/assets/Pieces/white_knook.svg", "XML", 172, 0, 0, 0, 1, 1, 174
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/assets/Pieces/white_pawn.svg", "XML", 5, 0, 0, 0, 0, 1, 6
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/assets/Pieces/white_queen.svg", "XML", 15, 0, 0, 0, 0, 1, 16
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/assets/Pieces/white_rook.svg", "XML", 25, 0, 0, 0, 0, 1, 26
"/Users/meherwangill/programming/anarchy-chess/AnarchyChess/AnarchChessVite/src/assets/react.svg", "XML", 1, 0, 0, 0, 0, 0, 1
